id_do_not_translate,original_text,translation
transponder.name,Transponder,Coucou
transponder.desc,Broadcast your identity; required for legal trade.,
go_dark.name,Go Dark,
go_dark.desc,Reduce sensor profile at the cost of burn level.,
sensor_burst.name,Active Sensor Burst,
sensor_burst.desc,"Stop and increase detection range, fleet is more detectable.",
emergency_burn.name,Emergency Burn,
emergency_burn.desc,Briefly boost burn level at the cost of fuel and combat readiness.,
sustained_burn.name,Sustained Burn,
sustained_burn.desc,Boost burn level at the cost of acceleration and wind-up time.,
interdiction_pulse.name,Interdiction Pulse,
interdiction_pulse.desc,Slow down another fleet heading towards the source of the pulse.,
.name,,
.desc,,
.name,,
.desc,,
scavenge.name,Scavenge,
scavenge.desc,Pick through a debris field for anything of value.,
gravitic_scan.name,Neutrino Detector,
gravitic_scan.desc,Detect in-system entities at very long range; unreliable with false readings.,
fracture_jump.name,Transverse Jump,
fracture_jump.desc,"Jump into a system through a nascent gravity well, or directly into hyperspace.",
remote_survey.name,Remote Survey,
remote_survey.desc,Do a preliminary survey on all nearby planets remotely.,
distress_call.name,Distress Call,
distress_call.desc,Issue a distress call.,
