id_do_not_translate,original_text,translation
helmsmanship.name,Helmsmanship,
helmsmanship.description,"It sings when you push the mix just right, like, [humming]. Everything is right in the world, from the stars down to your bones. Coming off a shift, it’s like I just woke up. [laughing] Words can't tell it.",
combat_endurance.name,Combat Endurance,
combat_endurance.description,"Through calamity, the Fourteenth endured. 
Through hegemony, the Domain endures. 
Through duty, humanity shall endure.",
impact_mitigation.name,Impact Mitigation,
impact_mitigation.description,"The maneuver produced an oblique impact angle, dissipating the shell's momentum into the ferrofoam applique. It was the unfortunate timing of the resulting shock which brought about Spacer York's tragic end during an otherwise routine heavy equipment transfer.",
damage_control.name,Damage Control,
damage_control.description,"Straight from the great forges of Kazeron, this ship is the very best of the League. And we shall treasure this gift, for it stands between our homes and those who would end our way of life.",
field_modulation.name,Field Modulation,
field_modulation.description,Few have a talent for what I like to think of as 'active tuning'. I find musicians make the best fields officers.,
point_defense.name,Point Defense,
point_defense.description,"Me, I don't take with them lasers and the like. Puts on a hell of a lightshow, ya'sure, but nothing stops incoming blips like the wall of DU from a good Vulcan matrix.",
target_analysis.name,Target Analysis,
target_analysis.description,A machine-assisted human mind is capable of intuiting effective solutions despite conflicting sensor data and contradictory tactical directives. The targeting computer alone can never truly replace a warrior.,
ballistic_mastery.name,Ballistic Mastery,
ballistic_mastery.description,"What's it stopped the Tri-Tach plot? (Guns!)
What was it that ol' Ludd forgot? (Guns!)
Wha’ve we got that they have not? (Big, big, guns!)",
systems_expertise.name,Systems Expertise,
systems_expertise.description,"No, I don't think it's a contradiction. It's a, uh, spiritual journey. You're tested. And it's like they say, the Devil is in the details.",
missile_specialization.name,Missile Specialization,
missile_specialization.description,My colleagues don’t appreciate their whimsy. You get all these little spaceships to break all the rules with because there's no need to survive the landing.,
tactical_drills.name,Tactical Drills,
tactical_drills.description,"Perfect.
Now do it again.",
coordinated_maneuvers.name,Coordinated Maneuvers,
coordinated_maneuvers.description,"Sir- incoming hostiles burning hard. Big ones. Count two. No, three. More... there's too many! High energy read. Contact in six.",
wolfpack_tactics.name,Wolfpack Tactics,
wolfpack_tactics.description,A fleet that acts with one mind makes those pretty formations so beloved by senior desk officers a wallowing beast begging to have its throat slit. Cut loose the hounds that we may be wolves again.,
crew_training.name,Crew Training,
crew_training.description,"I know your type. Signed the contract with dirt on your boots, all ready to play spacer. Watched too many Hegemony warprop holos, didn't you. Get this now: courage is not competence. Playing hero will get us all killed. Careful, mindful work is what gets the job done.",
fighter_uplink.name,Fighter Uplink,
fighter_uplink.description,"The fighter jocks spin legends around themselves, but they're just the tip of a spear which I alone command.",
carrier_group.name,Carrier Group,
carrier_group.description,"The stats tell us they'll be evaporated in a wall of flak before a half dozen missions, but we still want to be 'em. Once they're in the cockpit they're the only ones of all us who have control over their own destiny.",
officer_training.name,Officer Training,
officer_training.description,"They may be a 'rag-tag gang of merchants, smugglers, and pirates', but if you give them something to fight for, I think they might surprise you.",
officer_management.name,Officer Management,
officer_management.description,"The outlook was grim, so I promised the merc captains double combat bonus. With all the casualties I only had to pay out to half of them. Worked out fine.",
best_of_the_best.name,Best of the Best,
best_of_the_best.description,"What we have, Artemisia, is something that cannot be bought.",
support_doctrine.name,Support Doctrine,
support_doctrine.description,"Not every cadet has talent, skill, or even two brain cells to rub together, but by hell and radiation they'll graduate with discipline.",
force_concentration.name,Force Concentration,
force_concentration.description,When I provide victory at the time and place of my choosing history shall absolve me of the sacrifice of a planet or two.,
navigation.name,Navigation,
navigation.description,Spend enough time out here and it becomes second nature. It's how I move when I dream. Not all of us get that. Lots do.,
sensors.name,Sensors,
sensors.description,"I see you, little fish!",
gunnery_implants.name,Gunnery Implants,
gunnery_implants.description,Over time the augmented reality presented by implants may become difficult to distinguish from normal sensory input. The psych officer shall regularly check gunners for signs of Augment Dissociative Disorder by the following criteria...,
energy_weapon_mastery.name,Energy Weapon Mastery,
energy_weapon_mastery.description,"The eye of an angel was found in the small places, hidden there by merciful God in the first moments of creation. Thus its secrets were laid bare for the ignorant and cruel to loose terrible, fiery wrath. We lament.",
electronic_warfare.name,Electronic Warfare,
electronic_warfare.description,"err. 401 // connection refused [try again?]
err. 401 // connection refused [try again?]
err. 401 // connection refused [try again?]",
flux_regulation.name,Flux Regulation,
flux_regulation.description,"WARNING: By changing these settings user waives responsibility of Tri-Tachyon Corporation for any resulting equipment damage, injury, death, or otherwise anomalous spacetime effect or effects. Do you wish to continue?",
cybernetic_augmentation.name,Cybernetic Augmentation,
cybernetic_augmentation.description,Don't listen to those weepy crypto-Luddics on the ethics board; the rejection rate is nowhere near what the rumors imply.,
phase_corps.name,Phase Coil Tuning,
